year,rate
1990,8.971232503
1991,13.87024618
1992,11.78781704
1993,6.326890488
1994,10.24793556
1995,10.22488616
1996,8.977152338
1997,7.164252115
1998,13.23083898
1999,4.66982038
2000,4.00943591
2001,3.779293122
2002,4.297152039
2003,3.805858995
2004,3.767251735
2005,4.24634362
2006,5.796523376
2007,6.372881356
2008,8.349267049
2009,10.88235294
2010,11.98938992
2011,8.911793365
2012,9.478996914
2013,10.01787847
2014,6.665656719
2015,4.906973441
2016,4.948216341
2017,3.328173375
2018,3.938826467
2019,3.729505735
2020,6.623436776
2021,5.131407472
2022,6.699034141
2023,5.66
2024,5.09
