year,rate
1990,5.269526998
1991,3.624716596
1992,9.132749406
1993,5.814776512
1994,4.337109738
1995,5.864178109
1996,7.7929943
1997,6.909578995
1998,5.121276329
1999,9.191247322
2000,8.342610831
2001,8.591449296
2002,7.907177189
2003,7.30788116
2004,4.910128302
2005,4.855145174
2006,2.570606701
2007,5.681844064
2008,3.77175625
2009,4.808592109
2010,-1.983859223
2011,1.317979709
2012,2.473521635
2013,3.865992881
2014,6.695176086
2015,7.556488421
2016,6.232711412
2017,5.327608868
2018,5.361666382
2019,6.894875426
2020,4.203910407
2021,0.147236062
2022,0.315334365
2023,2.2
2024,2
