date,usinr,gdp,inflation,interest,leap,election,dow_jones,gold,oil,points
1990-01-02,16.8,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,780.01
1990-01-03,16.89,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,763.22
1990-01-04,16.9,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,760.8
1990-01-05,16.88,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,774.58
1990-01-08,16.88,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,778.33
1990-01-09,16.88,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,774.5
1990-01-10,16.85,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,782.48
1990-01-11,16.85,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,780.34
1990-01-16,16.91,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,755.58
1990-01-17,16.92,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,745.19
1990-01-18,16.93,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,738.58
1990-01-19,16.95,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,710.75
1990-01-22,16.95,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,706.85
1990-01-23,16.93,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,722.01
1990-01-24,16.92,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,718.95
1990-01-25,16.93,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,716.23
1990-01-30,16.89,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,701.08
1990-01-31,16.88,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,683.32
1990-02-01,16.9,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,692.41
1990-02-02,16.89,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,684.48
1990-02-06,16.88,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,674.26
1990-02-07,16.87,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,674.47
1990-02-08,16.88,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,659.3
1990-02-12,16.93,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,673.27
1990-02-13,16.93,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,673.26
1990-02-14,16.88,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,679.29
1990-02-15,16.89,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,690.07
1990-02-16,16.92,5.533454561,8.971232503,5.269526998,0,0,2679.45,3200.0,24.53,689.98
