date,price
02-01-90,16.8
03-01-90,16.89
04-01-90,16.9
05-01-90,16.88
08-01-90,16.88
09-01-90,16.88
10-01-90,16.85
11-01-90,16.85
12-01-90,16.85
16-01-90,16.91
17-01-90,16.92
18-01-90,16.93
19-01-90,16.95
22-01-90,16.95
23-01-90,16.93
24-01-90,16.92
25-01-90,16.93
26-01-90,16.93
29-01-90,16.89
30-01-90,16.89
31-01-90,16.88
01-02-90,16.9
02-02-90,16.89
05-02-90,16.91
06-02-90,16.88
07-02-90,16.87
08-02-90,16.88
09-02-90,16.88
12-02-90,16.93
13-02-90,16.93
14-02-90,16.88
15-02-90,16.89
16-02-90,16.92
20-02-90,16.92
21-02-90,16.91
22-02-90,16.91
23-02-90,16.92
26-02-90,16.94
27-02-90,16.96
28-02-90,16.96
01-03-90,16.96
02-03-90,16.96
05-03-90,16.98
06-03-90,16.98
07-03-90,16.97
08-03-90,16.97
09-03-90,16.97
12-03-90,16.97
13-03-90,17.03
14-03-90,17.03
15-03-90,17.03
16-03-90,17.03
19-03-90,17.05
20-03-90,17.02
21-03-90,17.02
22-03-90,17.08
23-03-90,17.12
26-03-90,17.14
27-03-90,17.11
28-03-90,17.11
29-03-90,17.11
30-03-90,17.18
02-04-90,17.18
03-04-90,17.17
04-04-90,17.15
05-04-90,17.14
06-04-90,17.16
09-04-90,17.18
10-04-90,17.19
11-04-90,17.19
12-04-90,17.19
13-04-90,17.23
16-04-90,17.23
17-04-90,17.26
18-04-90,17.28
19-04-90,17.24
20-04-90,17.24
23-04-90,17.27
24-04-90,17.27
25-04-90,17.27
26-04-90,17.3
27-04-90,17.3
01-05-90,17.29
03-05-90,17.28
04-05-90,17.28
07-05-90,17.28
08-05-90,17.25
09-05-90,17.2
10-05-90,17.23
11-05-90,17.27
14-05-90,17.24
15-05-90,17.23
16-05-90,17.21
17-05-90,17.18
18-05-90,17.22
21-05-90,17.22
22-05-90,17.22
23-05-90,17.21
24-05-90,17.21
25-05-90,17.19
29-05-90,17.3
30-05-90,17.348
31-05-90,17.378
01-06-90,17.403
04-06-90,17.516
05-06-90,17.464
06-06-90,17.447
07-06-90,17.44
08-06-90,17.45
11-06-90,17.501
12-06-90,17.463
13-06-90,17.435
14-06-90,17.402
15-06-90,17.458
18-06-90,17.449
19-06-90,17.444
20-06-90,17.426
21-06-90,17.431
22-06-90,17.435
25-06-90,17.447
26-06-90,17.44
27-06-90,17.441
28-06-90,17.463
29-06-90,17.489
02-07-90,17.489
03-07-90,17.472
04-07-90,17.472
05-07-90,17.447
06-07-90,17.45
09-07-90,17.387
10-07-90,17.374
11-07-90,17.399
12-07-90,17.483
13-07-90,17.457
16-07-90,17.458
17-07-90,17.441
18-07-90,17.417
19-07-90,17.429
20-07-90,17.447
23-07-90,17.46
24-07-90,17.447
25-07-90,17.46
26-07-90,17.466
27-07-90,17.422
30-07-90,17.39
31-07-90,17.393
01-08-90,17.382
02-08-90,17.382
03-08-90,17.385
06-08-90,17.325
07-08-90,17.345
08-08-90,17.369
09-08-90,17.394
10-08-90,17.413
13-08-90,17.363
14-08-90,17.36
15-08-90,17.36
16-08-90,17.318
20-08-90,17.313
21-08-90,17.387
